TEST_GROUP,RESOLVED_ENTITY_ID,MATCH_KEY,DATA_SOURCE,ENTITY_TYPE,RECORD_ID
TI-1032,TI-1032-1,resolve: name | dob (adds passport),CUSTOMERS,PERSON,1064
TI-1032,TI-1032-1,resolve: name | passport (adds drlic),CUSTOMERS,PERSON,1065
TI-1032,TI-1032-1,resolve: name | drlic (adds ssn),CUSTOMERS,PERSON,1066
TI-1032,TI-1032-1,resolve: name | ssn (adds address),CUSTOMERS,PERSON,1067
TI-1032,TI-1032-1,resolve: name | address ,CUSTOMERS,PERSON,1068
TI-2003,TI-2003-1,anchor,CUSTOMERS,PERSON,1069
TI-2003,TI-2003-1,resolve: name | gender | address | nationalID,CUSTOMERS,PERSON,1070
TI-2003,TI-2003-2,anchor,CUSTOMERS,PERSON,1071
TI-2003,TI-2003-2,resolve: name | dob |  gender | address | nationalID,CUSTOMERS,PERSON,1072
TI-2003,TI-2003-3,anchor,CUSTOMERS,PERSON,1073
TI-2003,TI-2003-3,resolve: name | dob | gender | address,CUSTOMERS,PERSON,1074
TI-2003,TI-2003-4,anchor,CUSTOMERS,PERSON,1075
TI-2003,TI-2003-4,resolve: name | dob | gender | address,CUSTOMERS,PERSON,1076
TI-2003,TI-2003-5,anchor,CUSTOMERS,PERSON,1077
TI-2003,TI-2003-5,resolve: name | dob | address,CUSTOMERS,PERSON,1078
TI-2004,TI-2004-1,anchor,CUSTOMERS,PERSON,1079
TI-2004,TI-2004-1,resolve: name | dob | last4ssn,CUSTOMERS,PERSON,1080
TI-1034,TI-1034-1,anchor,CUSTOMERS,PERSON,1081
TI-1034,TI-1034-1,resolve: name | dob | address |passport,CUSTOMERS,PERSON,1082
TI-1034,TI-1034-2,anchor,CUSTOMERS,PERSON,1083
TI-1034,TI-1034-2,resolve: name | dob | address |passport,CUSTOMERS,PERSON,1084
TI-1034,TI-1034-3,anchor,CUSTOMERS,PERSON,1085
TI-1034,TI-1034-3,resolve: name | dob | phone |email,CUSTOMERS,PERSON,1086
TI-1035,TI-1035-1,anchor,CUSTOMERS,PERSON,1087
TI-1035,TI-1035-1,resolve: name | dob | phone | email | gender diff,CUSTOMERS,PERSON,1088
TI-1035,TI-1035-3,anchor,CUSTOMERS,PERSON,1089
TI-1035,TI-1035-4,resolve: name | dob | address | passport / diff generation,CUSTOMERS,PERSON,1090
TI-1035,TI-1035-5,anchor,CUSTOMERS,PERSON,1091
TI-1035,TI-1035-5,resolve: name | dob | phone |email,CUSTOMERS,PERSON,1092
TI-1036,TI-1036-1,anchor,CUSTOMERS,PERSON,1093
TI-1036,TI-1036-1,resolve: name | dob | drlic ,CUSTOMERS,PERSON,1094
TI-1036,TI-1036-3,anchor,CUSTOMERS,PERSON,1095
TI-1036,TI-1036-3,resolve: name | dob | drlic | invalid gender,CUSTOMERS,PERSON,1096
TI-1037,TI-1037-1,anchor,CUSTOMERS,PERSON,1097
TI-1037,TI-1037-1,resolve: name | address | email ,CUSTOMERS,PERSON,1098
TI-1037,TI-1037-3,anchor,CUSTOMERS,PERSON,1099
TI-1037,TI-1037-3,resolve: name | address | email | invalid gender,CUSTOMERS,PERSON,1100
TI-1038,TI-1038-1,anchor,CUSTOMERS,PERSON,1101
TI-1038,TI-1038-1,resolve: name | email ,CUSTOMERS,PERSON,1102
TI-1038,TI-1038-3,anchor,CUSTOMERS,PERSON,1103
TI-1038,TI-1038-3,resolve: name | address | email | invalid  gender,CUSTOMERS,PERSON,1104
